"","統計年月","縣市","行政區域","戶數","總人數","人口數","青少年人口","壯年人口","老年人口"
"222",10407,"臺北市","士林區溪山里",552,1509,1509,186,1065,258
"223",10407,"臺北市","士林區新安里",775,2091,2091,229,1452,410
"224",10407,"臺北市","士林區岩山里",1285,3656,3656,469,2730,457
"225",10407,"臺北市","士林區陽明里",1396,3116,3116,265,2211,640
"226",10407,"臺北市","士林區義信里",1327,3419,3419,550,2408,461
"227",10407,"臺北市","士林區永福里",470,1338,1338,133,924,281
"228",10407,"臺北市","士林區永倫里",2715,7716,7716,1009,5766,941
"229",10407,"臺北市","士林區芝山里",2801,7975,7975,1160,5955,860
"230",10407,"臺北市","士林區忠誠里",2180,5977,5977,810,4209,958
"231",10407,"臺北市","松山區安平里",3537,8733,8733,1099,6397,1237
"232",10407,"臺北市","松山區慈祐里",4006,8072,8072,865,6091,1116
"233",10407,"臺北市","松山區東昌里",1044,2966,2966,599,1908,459
"234",10407,"臺北市","松山區東光里",2989,7515,7515,907,5317,1291
"235",10407,"臺北市","松山區東榮里",3031,8572,8572,1521,5734,1317
"236",10407,"臺北市","松山區東勢里",1820,4736,4736,836,3160,740
"237",10407,"臺北市","松山區敦化里",2615,7611,7611,1500,5144,967
"238",10407,"臺北市","松山區福成里",1023,2893,2893,504,1963,426
"239",10407,"臺北市","松山區富錦里",2134,5483,5483,821,3844,818
"240",10407,"臺北市","松山區富泰里",2052,4957,4957,766,3437,754
"241",10407,"臺北市","松山區復建里",1828,4906,4906,990,3336,580
"242",10407,"臺北市","松山區復盛里",2545,6797,6797,987,4778,1032
"243",10407,"臺北市","松山區復勢里",2536,6584,6584,1149,4473,962
"244",10407,"臺北市","松山區復源里",1274,3507,3507,716,2363,428
"245",10407,"臺北市","松山區吉仁里",1565,4344,4344,836,2920,588
"246",10407,"臺北市","松山區吉祥里",3412,8777,8777,1155,6373,1249
"247",10407,"臺北市","松山區介壽里",1777,4899,4899,1019,3161,719
"248",10407,"臺北市","松山區精忠里",1736,4726,4726,895,3106,725
"249",10407,"臺北市","松山區龍田里",4247,11255,11255,2414,7277,1564
"250",10407,"臺北市","松山區美仁里",1361,3860,3860,834,2530,496
"251",10407,"臺北市","松山區民福里",2630,6626,6626,722,4849,1055
"252",10407,"臺北市","松山區民有里",3421,8994,8994,1152,6358,1484
"253",10407,"臺北市","松山區鵬程里",2126,5742,5742,699,4262,781
"254",10407,"臺北市","松山區三民里",2925,7161,7161,1048,4860,1253
"255",10407,"臺北市","松山區松基里",1470,3782,3782,474,2728,580
"256",10407,"臺北市","松山區新東里",2014,5218,5218,799,3705,714
"257",10407,"臺北市","松山區新聚里",3314,8372,8372,1181,6095,1096
"258",10407,"臺北市","松山區新益里",1844,4828,4828,596,3492,740
"259",10407,"臺北市","松山區中華里",2522,6862,6862,1346,4518,998
"260",10407,"臺北市","松山區中崙里",1718,4625,4625,1062,3055,508
"261",10407,"臺北市","松山區中正里",3915,10904,10904,2715,7089,1100
"262",10407,"臺北市","松山區莊敬里",2086,5649,5649,746,4024,879
"263",10407,"臺北市","松山區自強里",3750,10270,10270,1564,6972,1734
"264",10407,"臺北市","萬華區保德里",1306,3545,3545,490,2559,496
"265",10407,"臺北市","萬華區菜園里",2686,6339,6339,805,4584,950
"266",10407,"臺北市","萬華區頂碩里",3016,7695,7695,955,5665,1075
"267",10407,"臺北市","萬華區福星里",2717,5796,5796,810,4090,896
"268",10407,"臺北市","萬華區福音里",1462,3702,3702,477,2669,556
"269",10407,"臺北市","萬華區富福里",3147,6343,6343,598,4754,991
"270",10407,"臺北市","萬華區富民里",2265,5301,5301,625,3763,913
"271",10407,"臺北市","萬華區和德里",2780,7629,7629,1074,5565,990
"272",10407,"臺北市","萬華區和平里",2765,7154,7154,801,5264,1089
"273",10407,"臺北市","萬華區華江里",3248,8907,8907,1128,6593,1186
"274",10407,"臺北市","萬華區華中里",2388,6495,6495,865,4630,1000
"275",10407,"臺北市","萬華區錦德里",2172,5799,5799,717,4229,853
"276",10407,"臺北市","萬華區凌霄里",1687,3959,3959,471,2850,638
"277",10407,"臺北市","萬華區柳鄉里",2125,5597,5597,680,4055,862
"278",10407,"臺北市","萬華區綠堤里",1767,4585,4585,550,3302,733
"279",10407,"臺北市","萬華區銘德里",1844,4907,4907,607,3590,710
"280",10407,"臺北市","萬華區青山里",2614,5949,5949,628,4408,913
"281",10407,"臺北市","萬華區全德里",1569,4415,4415,736,3088,591
"282",10407,"臺北市","萬華區仁德里",2115,4861,4861,475,3610,776
"283",10407,"臺北市","萬華區日善里",1437,3966,3966,584,2901,481
"284",10407,"臺北市","萬華區日祥里",2415,5759,5759,703,4014,1042
"285",10407,"臺北市","萬華區榮德里",1394,3787,3787,455,2700,632
"286",10407,"臺北市","萬華區壽德里",2001,5601,5601,820,4084,697
"287",10407,"臺北市","萬華區雙園里",1945,5080,5080,862,3559,659
"288",10407,"臺北市","萬華區糖廍里",2247,5759,5759,679,4194,886
"289",10407,"臺北市","萬華區騰雲里",1310,3162,3162,309,2384,469
"290",10407,"臺北市","萬華區萬壽里",1902,3597,3597,424,2590,583
"291",10407,"臺北市","萬華區西門里",2002,3986,3986,495,2863,628
"292",10407,"臺北市","萬華區孝德里",1287,3500,3500,445,2570,485
"293",10407,"臺北市","萬華區新安里",2670,6520,6520,752,4770,998
"294",10407,"臺北市","萬華區新和里",3495,8959,8959,1011,6554,1394
"295",10407,"臺北市","萬華區新起里",2973,6722,6722,758,4909,1055
"296",10407,"臺北市","萬華區新忠里",1560,3703,3703,408,2484,811
"297",10407,"臺北市","萬華區興德里",1795,5238,5238,849,3703,686
"298",10407,"臺北市","萬華區忠德里",1729,4687,4687,700,3288,699
"299",10407,"臺北市","萬華區忠貞里",2309,5137,5137,565,3468,1104
"300",10407,"臺北市","文山區博嘉里",2186,5858,5858,792,4335,731
"301",10407,"臺北市","文山區華興里",3513,9283,9283,1451,6686,1146
"302",10407,"臺北市","文山區景東里",2901,7775,7775,1474,5495,806
"303",10407,"臺北市","文山區景華里",2270,6235,6235,1082,4329,824
"304",10407,"臺北市","文山區景美里",2056,5512,5512,998,3742,772
"305",10407,"臺北市","文山區景慶里",2538,7093,7093,1254,4930,909
"306",10407,"臺北市","文山區景仁里",1906,5116,5116,921,3576,619
"307",10407,"臺北市","文山區景行里",3038,7582,7582,1561,5218,803
"308",10407,"臺北市","文山區老泉里",359,992,992,173,696,123
"309",10407,"臺北市","文山區明興里",2772,7207,7207,939,5486,782
"310",10407,"臺北市","文山區明義里",1639,4571,4571,878,3209,484
"311",10407,"臺北市","文山區木柵里",3522,9227,9227,1390,6505,1332
"312",10407,"臺北市","文山區木新里",4329,10477,10477,1310,7916,1251
"313",10407,"臺北市","文山區試院里",2789,7271,7271,1109,5292,870
"314",10407,"臺北市","文山區順興里",2864,8087,8087,1405,5857,825
"315",10407,"臺北市","文山區萬芳里",3143,8405,8405,1253,6298,854
"316",10407,"臺北市","文山區萬和里",1412,3395,3395,433,2263,699
"317",10407,"臺北市","文山區萬隆里",2910,7701,7701,1281,5469,951
"318",10407,"臺北市","文山區萬美里",2844,7609,7609,1045,5681,883
"319",10407,"臺北市","文山區萬年里",2261,5664,5664,700,4090,874
"320",10407,"臺北市","文山區萬盛里",2034,4944,4944,579,3597,768
"321",10407,"臺北市","文山區萬祥里",1898,4917,4917,768,3477,672
"322",10407,"臺北市","文山區萬興里",3233,8891,8891,1631,6296,964
"323",10407,"臺北市","文山區萬有里",2172,5862,5862,985,4170,707
"324",10407,"臺北市","文山區興安里",2649,6869,6869,1055,4884,930
"325",10407,"臺北市","文山區興邦里",2063,4909,4909,613,3622,674
"326",10407,"臺北市","文山區興昌里",2789,7036,7036,1015,5179,842
"327",10407,"臺北市","文山區興得里",2381,6329,6329,941,4618,770
"328",10407,"臺北市","文山區興豐里",2002,5092,5092,769,3670,653
"329",10407,"臺北市","文山區興福里",2197,6404,6404,1261,4482,661
"330",10407,"臺北市","文山區興光里",1466,3668,3668,546,2665,457
"331",10407,"臺北市","文山區興家里",2829,7878,7878,1112,5993,773
"332",10407,"臺北市","文山區興泰里",1695,4104,4104,513,3033,558
"333",10407,"臺北市","文山區興旺里",3351,8627,8627,1301,6479,847
"334",10407,"臺北市","文山區興業里",2084,5597,5597,669,4078,850
"335",10407,"臺北市","文山區樟腳里",2076,5996,5996,1048,4361,587
"336",10407,"臺北市","文山區樟林里",3198,8966,8966,1371,6409,1186
"337",10407,"臺北市","文山區樟樹里",1824,5258,5258,910,3767,581
"338",10407,"臺北市","文山區樟文里",2346,6627,6627,1056,4825,746
"339",10407,"臺北市","文山區樟新里",2171,5958,5958,1044,4321,593
"340",10407,"臺北市","文山區政大里",2892,7907,7907,1849,5477,581
"341",10407,"臺北市","文山區指南里",1661,3944,3944,558,2924,462
"342",10407,"臺北市","文山區忠順里",1655,4070,4070,497,2988,585
"343",10407,"臺北市","信義區安康里",4335,11148,11148,2261,7572,1315
"344",10407,"臺北市","信義區大道里",2416,6428,6428,760,4730,938
"345",10407,"臺北市","信義區大仁里",1665,4216,4216,476,3009,731
