"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","大同區延平里",1292,1320979,1022,581,324,1126,2367.52,231.56
"台北市","大同區揚雅里",1134,1094525,965,586,352,1044,1702.11,176.35
"台北市","大同區永樂里",1983,2920836,1473,641,348,1204,9450.45,641.61
"台北市","大同區玉泉里",1069,1133755,1061,644,369,1237,1482.33,139.77
"台北市","大同區至聖里",2730,2592560,950,586,339,1100,1987.25,209.26
"台北市","大同區重慶里",2293,2387796,1041,675,383,1271,1465.51,140.73
"台北市","南港區百福里",1755,1468090,837,605,359,1047,835.92,99.93
"台北市","南港區成福里",2593,2376858,917,636,380,1169,956.43,104.34
"台北市","南港區東明里",1770,2023518,1143,725,394,1356,1410.3,123.36
"台北市","南港區東新里",2358,2146408,910,635,360,1142,1138.97,125.13
"台北市","南港區合成里",2311,2715570,1175,680,381,1225,2324.57,197.83
"台北市","南港區鴻福里",1615,1633293,1011,691,389,1232,1217.44,120.38
"台北市","南港區九如里",1995,1756959,881,625,362,1102,910.29,103.36
"台北市","南港區舊莊里",1698,1460515,860,586,347,1037,992.03,115.33
"台北市","南港區聯成里",1732,1506686,870,620,360,1119,799.04,91.85
"台北市","南港區南港里",1967,2033448,1034,646,372,1165,4404.54,426.06
"台北市","南港區仁福里",1822,1766602,970,676,400,1292,894.83,92.29
"台北市","南港區三重里",2083,3530611,1695,834,416,1778,6431.88,379.47
"台北市","南港區萬福里",1482,1430219,965,655,363,1186,1219.71,126.39
"台北市","南港區西新里",1617,1319948,816,585,350,1013,850.57,104.2
"台北市","南港區新富里",1278,1069529,837,598,360,1045,875.33,104.6
"台北市","南港區新光里",1279,1396995,1092,601,356,1089,8117.74,743.21
"台北市","南港區玉成里",1635,1495949,915,653,372,1186,1086.59,118.76
"台北市","南港區中南里",1153,855935,742,557,337,950,687.68,92.64
"台北市","南港區中研里",3123,3176717,1017,675,402,1256,1176.57,115.67
"台北市","南港區重陽里",1607,2746691,1709,1107,550,2082,2164.18,126.62
"台北市","內湖區安湖里",2547,2776738,1090,726,383,1405,1378.27,126.42
"台北市","內湖區安泰里",1777,1553861,874,627,381,1111,941.19,107.63
"台北市","內湖區寶湖里",2967,5622110,1895,1167,517,2344,2457.65,129.7
"台北市","內湖區碧山里",2232,2375434,1064,694,395,1300,1666.19,156.56
"台北市","內湖區大湖里",2051,3029091,1477,865,438,1670,3296.42,223.2
"台北市","內湖區東湖里",2720,2378328,874,620,363,1143,793.76,90.78
"台北市","內湖區港都里",1922,2346935,1221,719,396,1404,2542.2,208.19
"台北市","內湖區港富里",3131,3512557,1122,703,380,1353,1857.67,165.59
"台北市","內湖區港華里",3094,3654946,1181,699,394,1342,2487.07,210.54
"台北市","內湖區港墘里",2116,2371049,1121,750,417,1386,1263,112.71
"台北市","內湖區湖濱里",2906,4244645,1461,808,418,1627,2851.16,195.2
"台北市","內湖區湖興里",2721,2949382,1084,709,399,1287,1573.12,145.13
"台北市","內湖區湖元里",2081,2390224,1149,718,401,1327,1967.76,171.32
"台北市","內湖區葫洲里",2551,3620691,1419,897,463,1772,2069.67,145.82
"台北市","內湖區金湖里",3359,7457529,2220,1188,556,2500,4361.9,196.47
"台北市","內湖區金龍里",1856,1709227,921,649,368,1154,1340.39,145.55
"台北市","內湖區金瑞里",2267,2283809,1007,671,385,1259,1616.1,160.42
"台北市","內湖區康寧里",2836,3398376,1198,829,431,1552,1502.55,125.39
"台北市","內湖區樂康里",2900,2615913,902,669,397,1167,821.16,91.03
"台北市","內湖區麗山里",2013,2269468,1127,722,409,1359,1652.75,146.6
"台北市","內湖區蘆洲里",368,263357,716,533,326,899,681.75,95.26
"台北市","內湖區明湖里",1724,1777642,1031,681,368,1264,1733.38,168.11
"台北市","內湖區南湖里",1753,2941549,1678,1083,539,2187,2015.19,120.09
"台北市","內湖區內溝里",1570,1532970,976,669,357,1224,1165.56,119.37
"台北市","內湖區內湖里",2142,2334757,1090,712,373,1386,1291.45,118.48
"台北市","內湖區清白里",3086,4834308,1567,907,457,1819,3185.46,203.35
"台北市","內湖區瑞光里",1607,1629987,1014,737,411,1290,1077.43,106.22
"台北市","內湖區瑞陽里",2667,3052272,1144,742,418,1435,1331.93,116.38
