"縣市名稱","行政區域"
"彰化縣","溪湖鎮田中里"
"彰化縣","溪湖鎮河東里"
"彰化縣","溪湖鎮中山里"
"彰化縣","溪湖鎮中竹里"
"彰化縣","溪湖鎮東溪里"
"彰化縣","溪湖鎮西溪里"
"彰化縣","溪湖鎮湖東里"
"彰化縣","溪湖鎮頂庄里"
"彰化縣","溪湖鎮忠覺里"
"彰化縣","溪湖鎮湳底里"
"彰化縣","溪湖鎮大庭里"
"彰化縣","溪湖鎮媽厝里"
"彰化縣","溪湖鎮西勢里"
"彰化縣","溪湖鎮番婆里"
"彰化縣","田中鎮香山里"
"彰化縣","田中鎮碧峰里"
"彰化縣","田中鎮東源里"
"彰化縣","田中鎮復興里"
"彰化縣","田中鎮平和里"
"彰化縣","田中鎮頂潭里"
"彰化縣","田中鎮中潭里"
"彰化縣","田中鎮龍潭里"
"彰化縣","田中鎮北路里"
"彰化縣","田中鎮西路里"
"彰化縣","田中鎮東路里"
"彰化縣","田中鎮南路里"
"彰化縣","田中鎮中路里"
"彰化縣","田中鎮新庄里"
"彰化縣","田中鎮三安里"
"彰化縣","田中鎮大崙里"
"彰化縣","田中鎮沙崙里"
"彰化縣","田中鎮新民里"
"彰化縣","田中鎮梅州里"
"彰化縣","田中鎮三民里"
"彰化縣","田中鎮三光里"
"彰化縣","田中鎮大社里"
"彰化縣","大村鄉大村村"
"彰化縣","大村鄉茄苳村"
"彰化縣","大村鄉南勢村"
"彰化縣","大村鄉田洋村"
"彰化縣","大村鄉新興村"
"彰化縣","大村鄉過溝村"
"彰化縣","大村鄉美港村"
"彰化縣","大村鄉平和村"
"彰化縣","大村鄉貢旗村"
"彰化縣","大村鄉加錫村"
"彰化縣","大村鄉村上村"
"彰化縣","大村鄉大橋村"
"彰化縣","大村鄉大崙村"
"彰化縣","大村鄉擺塘村"
"彰化縣","大村鄉黃厝村"
"彰化縣","大村鄉福興村"
"彰化縣","埔鹽鄉埔鹽村"
"彰化縣","埔鹽鄉埔南村"
"彰化縣","埔鹽鄉廍子村"
"彰化縣","埔鹽鄉出水村"
"彰化縣","埔鹽鄉南港村"
"彰化縣","埔鹽鄉打廉村"
"彰化縣","埔鹽鄉豐澤村"
"彰化縣","埔鹽鄉崑崙村"
"彰化縣","埔鹽鄉角樹村"
"彰化縣","埔鹽鄉瓦磘村"
"彰化縣","埔鹽鄉好修村"
"彰化縣","埔鹽鄉西湖村"
"彰化縣","埔鹽鄉大有村"
"彰化縣","埔鹽鄉新興村"
"彰化縣","埔鹽鄉永平村"
"彰化縣","埔鹽鄉永樂村"
"彰化縣","埔鹽鄉石埤村"
"彰化縣","埔鹽鄉天盛村"
"彰化縣","埔鹽鄉太平村"
"彰化縣","埔鹽鄉新水村"
"彰化縣","埔鹽鄉三省村"
"彰化縣","埔鹽鄉南新村"
"彰化縣","埔心鄉東門村"
"彰化縣","埔心鄉埔心村"
"彰化縣","埔心鄉義民村"
"彰化縣","埔心鄉油車村"
"彰化縣","埔心鄉瓦北村"
"彰化縣","埔心鄉瓦中村"
"彰化縣","埔心鄉瓦南村"
"彰化縣","埔心鄉太平村"
"彰化縣","埔心鄉經口村"
"彰化縣","埔心鄉大華村"
"彰化縣","埔心鄉仁里村"
"彰化縣","埔心鄉舊舘村"
"彰化縣","埔心鄉南舘村"
"彰化縣","埔心鄉新舘村"
"彰化縣","埔心鄉羅厝村"
"彰化縣","埔心鄉芎蕉村"
"彰化縣","埔心鄉二重村"
"彰化縣","埔心鄉梧鳳村"
"彰化縣","埔心鄉埤霞村"
"彰化縣","埔心鄉埤脚村"
"彰化縣","永靖鄉永東村"
"彰化縣","永靖鄉永西村"
"彰化縣","永靖鄉永南村"
"彰化縣","永靖鄉永北村"
"彰化縣","永靖鄉港西村"
"彰化縣","永靖鄉五福村"
"彰化縣","永靖鄉湳港村"
"彰化縣","永靖鄉新莊村"
"彰化縣","永靖鄉瑚璉村"
"彰化縣","永靖鄉五汴村"
"彰化縣","永靖鄉浮圳村"
"彰化縣","永靖鄉光雲村"
"彰化縣","永靖鄉東寧村"
"彰化縣","永靖鄉永興村"
"彰化縣","永靖鄉崙子村"
"彰化縣","永靖鄉獨鰲村"
"彰化縣","永靖鄉敦厚村"
"彰化縣","永靖鄉崙美村"
"彰化縣","永靖鄉同安村"
"彰化縣","永靖鄉同仁村"
"彰化縣","永靖鄉湳墘村"
"彰化縣","永靖鄉四芳村"
"彰化縣","永靖鄉福興村"
"彰化縣","永靖鄉竹子村"
"彰化縣","社頭鄉社頭村"
"彰化縣","社頭鄉東興村"
"彰化縣","社頭鄉山湖村"
"彰化縣","社頭鄉廣興村"
"彰化縣","社頭鄉廣福村"
"彰化縣","社頭鄉朝興村"
"彰化縣","社頭鄉仁雅村"
"彰化縣","社頭鄉橋頭村"
"彰化縣","社頭鄉仁和村"
"彰化縣","社頭鄉崙雅村"
"彰化縣","社頭鄉湳底村"
"彰化縣","社頭鄉泰安村"
"彰化縣","社頭鄉美雅村"
"彰化縣","社頭鄉新厝村"
"彰化縣","社頭鄉平和村"
"彰化縣","社頭鄉里仁村"
"彰化縣","社頭鄉張厝村"
"彰化縣","社頭鄉龍井村"
"彰化縣","社頭鄉舊社村"
"彰化縣","社頭鄉埤斗村"
"彰化縣","社頭鄉湳雅村"
"彰化縣","社頭鄉松竹村"
"彰化縣","社頭鄉清水村"
"彰化縣","社頭鄉協和村"
"彰化縣","二水鄉合和村"
"彰化縣","二水鄉上豊村"
"彰化縣","二水鄉過圳村"
"彰化縣","二水鄉五伯村"
"彰化縣","二水鄉光化村"
"彰化縣","二水鄉文化村"
"彰化縣","二水鄉二水村"
"彰化縣","二水鄉聖化村"
"彰化縣","二水鄉裕民村"
"彰化縣","二水鄉惠民村"
"彰化縣","二水鄉大園村"
"彰化縣","二水鄉修仁村"
"彰化縣","二水鄉合興村"
"彰化縣","二水鄉源泉村"
"彰化縣","二水鄉倡和村"
"彰化縣","二水鄉復興村"
"彰化縣","二水鄉十五村"
"彰化縣","北斗鎮光復里"
"彰化縣","北斗鎮新政里"
"彰化縣","北斗鎮重慶里"
"彰化縣","北斗鎮五權里"
"彰化縣","北斗鎮七星里"
"彰化縣","北斗鎮居仁里"
"彰化縣","北斗鎮東光里"
"彰化縣","北斗鎮文昌里"
"彰化縣","北斗鎮中和里"
"彰化縣","北斗鎮西德里"
"彰化縣","北斗鎮西安里"
"彰化縣","北斗鎮中寮里"
"彰化縣","北斗鎮大道里"
"彰化縣","北斗鎮新生里"
"彰化縣","北斗鎮大新里"
"彰化縣","二林鎮東和里"
"彰化縣","二林鎮南光里"
"彰化縣","二林鎮西平里"
"彰化縣","二林鎮北平里"
"彰化縣","二林鎮中西里"
"彰化縣","二林鎮廣興里"
"彰化縣","二林鎮香田里"
"彰化縣","二林鎮外竹里"
"彰化縣","二林鎮興華里"
"彰化縣","二林鎮東興里"
"彰化縣","二林鎮後厝里"
"彰化縣","二林鎮豐田里"
"彰化縣","二林鎮頂厝里"
"彰化縣","二林鎮趙甲里"
"彰化縣","二林鎮振興里"
"彰化縣","二林鎮萬興里"
"彰化縣","二林鎮永興里"
"彰化縣","二林鎮西庄里"
"彰化縣","二林鎮梅芳里"
"彰化縣","二林鎮華崙里"
"彰化縣","二林鎮東勢里"
"彰化縣","二林鎮萬合里"
"彰化縣","二林鎮大永里"
"彰化縣","二林鎮原斗里"
"彰化縣","二林鎮西斗里"
"彰化縣","二林鎮東華里"
"彰化縣","二林鎮復豐里"
"彰化縣","田尾鄉田尾村"
"彰化縣","田尾鄉豐田村"
"彰化縣","田尾鄉饒平村"
"彰化縣","田尾鄉睦宜村"
"彰化縣","田尾鄉福田村"
"彰化縣","田尾鄉新興村"
"彰化縣","田尾鄉北鎮村"
"彰化縣","田尾鄉南鎮村"
"彰化縣","田尾鄉新生村"
"彰化縣","田尾鄉南曾村"
"彰化縣","田尾鄉北曾村"
"彰化縣","田尾鄉溪畔村"
"彰化縣","田尾鄉打簾村"
"彰化縣","田尾鄉柳鳳村"
"彰化縣","田尾鄉陸豐村"
"彰化縣","田尾鄉海豐村"
"彰化縣","田尾鄉仁里村"
"彰化縣","田尾鄉新厝村"
"彰化縣","田尾鄉溪頂村"
"彰化縣","田尾鄉正義村"
"彰化縣","埤頭鄉和豊村"
"彰化縣","埤頭鄉興農村"
"彰化縣","埤頭鄉埤頭村"
"彰化縣","埤頭鄉豊崙村"
"彰化縣","埤頭鄉崙子村"
"彰化縣","埤頭鄉永豊村"
"彰化縣","埤頭鄉合興村"
"彰化縣","埤頭鄉平原村"
"彰化縣","埤頭鄉崙腳村"
"彰化縣","埤頭鄉元埔村"
"彰化縣","埤頭鄉芙朝村"
"彰化縣","埤頭鄉新庄村"
"彰化縣","埤頭鄉陸嘉村"
"彰化縣","埤頭鄉竹圍村"
"彰化縣","埤頭鄉中和村"
"彰化縣","埤頭鄉庄內村"
"彰化縣","埤頭鄉大湖村"
"彰化縣","芳苑鄉芳苑村"
"彰化縣","芳苑鄉芳中村"
"彰化縣","芳苑鄉仁愛村"
"彰化縣","芳苑鄉信義村"
"彰化縣","芳苑鄉後寮村"
"彰化縣","芳苑鄉三合村"
"彰化縣","芳苑鄉永興村"
"彰化縣","芳苑鄉五俊村"
"彰化縣","芳苑鄉路上村"
"彰化縣","芳苑鄉路平村"
"彰化縣","芳苑鄉三成村"
"彰化縣","芳苑鄉福榮村"
"彰化縣","芳苑鄉頂廍村"
"彰化縣","芳苑鄉新街村"
"彰化縣","芳苑鄉王功村"
"彰化縣","芳苑鄉博愛村"
"彰化縣","芳苑鄉和平村"
"彰化縣","芳苑鄉民生村"
"彰化縣","芳苑鄉興仁村"
"彰化縣","芳苑鄉新寶村"
"彰化縣","芳苑鄉草湖村"
"彰化縣","芳苑鄉文津村"
"彰化縣","芳苑鄉建平村"
"彰化縣","芳苑鄉崙腳村"
"彰化縣","芳苑鄉新生村"
"彰化縣","芳苑鄉漢寶村"
"彰化縣","大城鄉潭墘村"
"彰化縣","大城鄉上山村"
"彰化縣","大城鄉東城村"
"彰化縣","大城鄉西城村"
"彰化縣","大城鄉大城村"
"彰化縣","大城鄉菜寮村"
"彰化縣","大城鄉山腳村"
"彰化縣","大城鄉永和村"
"彰化縣","大城鄉頂庄村"
"彰化縣","大城鄉公館村"
"彰化縣","大城鄉臺西村"
"彰化縣","大城鄉東港村"
"彰化縣","大城鄉西港村"
"彰化縣","大城鄉豐美村"
"彰化縣","大城鄉三豐村"
"彰化縣","竹塘鄉竹元村"
"彰化縣","竹塘鄉竹塘村"
"彰化縣","竹塘鄉小西村"
"彰化縣","竹塘鄉民靖村"
"彰化縣","竹塘鄉五庄村"
"彰化縣","竹塘鄉樹腳村"
"彰化縣","竹塘鄉田頭村"
"彰化縣","竹塘鄉新廣村"
"彰化縣","竹塘鄉溪墘村"
"彰化縣","竹塘鄉竹林村"
"彰化縣","竹塘鄉土庫村"
"彰化縣","竹塘鄉內新村"
"彰化縣","竹塘鄉長安村"
"彰化縣","竹塘鄉永安村"
"彰化縣","溪州鄉溪厝村"
"彰化縣","溪州鄉舊眉村"
"彰化縣","溪州鄉柑園村"
"彰化縣","溪州鄉水尾村"
"彰化縣","溪州鄉坑厝村"
"彰化縣","溪州鄉圳寮村"
"彰化縣","溪州鄉潮洋村"
"彰化縣","溪州鄉瓦厝村"
"彰化縣","溪州鄉西畔村"
"彰化縣","溪州鄉張厝村"
"彰化縣","溪州鄉溪州村"
"彰化縣","溪州鄉成功村"
"彰化縣","溪州鄉菜公村"
"彰化縣","溪州鄉尾厝村"
"彰化縣","溪州鄉大庄村"
"彰化縣","溪州鄉三圳村"
"彰化縣","溪州鄉東州村"
"彰化縣","溪州鄉榮光村"
"彰化縣","溪州鄉三條村"
"嘉義市","東區荖藤里"
"嘉義市","東區後湖里"
"嘉義市","東區仁義里"
"嘉義市","東區中庄里"
"嘉義市","東區頂庄里"
"嘉義市","東區圳頭里"
"嘉義市","東區新店里"
"嘉義市","東區後庄里"
"嘉義市","東區王田里"
"嘉義市","東區東川里"
"嘉義市","東區太平里"
"嘉義市","東區盧厝里"
"嘉義市","東區鹿寮里"
"嘉義市","東區長竹里"
"嘉義市","東區短竹里"
"嘉義市","東區新開里"
"嘉義市","東區宣信里"
"嘉義市","東區興南里"
"嘉義市","東區豐年里"
"嘉義市","東區芳草里"
"嘉義市","東區芳安里"
"嘉義市","東區頂寮里"
"嘉義市","東區安寮里"
"嘉義市","東區興安里"
"嘉義市","東區興村里"
"嘉義市","東區興仁里"
"嘉義市","東區過溝里"
"嘉義市","東區民族里"
"嘉義市","東區朝陽里"
"嘉義市","東區華南里"
"嘉義市","東區東興里"
"嘉義市","東區中山里"
"嘉義市","東區中央里"
"嘉義市","東區林森里"
"嘉義市","東區北門里"
"嘉義市","東區蘭潭里"
"嘉義市","東區文雅里"
"嘉義市","東區安業里"
"嘉義市","東區義教里"
"嘉義市","西區香湖里"
"嘉義市","西區湖邊里"
"嘉義市","西區北榮里"
"嘉義市","西區重興里"
"嘉義市","西區竹圍里"
"嘉義市","西區新厝里"
"嘉義市","西區保安里"
"嘉義市","西區北湖里"
"嘉義市","西區下埤里"
"嘉義市","西區竹村里"
"嘉義市","西區大溪里"
"嘉義市","西區福全里"
"嘉義市","西區西平里"
"嘉義市","西區磚磘里"
"嘉義市","西區港坪里"
"嘉義市","西區頭港里"
"嘉義市","西區劉厝里"
"嘉義市","西區新西里"
"嘉義市","西區書院里"
"嘉義市","西區培元里"
"嘉義市","西區垂楊里"
"嘉義市","西區車店里"
"嘉義市","西區福民里"
"嘉義市","西區湖內里"
"嘉義市","西區美源里"
"嘉義市","西區育英里"
"嘉義市","西區致遠里"
"嘉義市","西區光路里"
"嘉義市","西區翠岱里"
"嘉義市","西區自強里"
"嘉義市","西區永和里"
"嘉義市","西區新富里"
"嘉義市","西區文化里"
"嘉義市","西區西榮里"
"嘉義市","西區國華里"
"嘉義市","西區番社里"
"嘉義市","西區導明里"
"嘉義市","西區慶安里"
"嘉義市","西區後驛里"
"嘉義市","西區福安里"
"嘉義市","西區獅子里"
"嘉義市","西區紅瓦里"
"嘉義市","西區保福里"
"嘉義市","西區保生里"
"嘉義市","西區北新里"
"嘉義縣","太保市太保里"
"嘉義縣","太保市後庄里"
"嘉義縣","太保市前潭里"
"嘉義縣","太保市後潭里"
"嘉義縣","太保市梅埔里"
"嘉義縣","太保市春珠里"
