"里","n","med","mean"
"內湖區內溝里",41,378816.52892562,399929.288449909
"內湖區內湖里",120,623130.578512397,598664.380165289
"內湖區清白里",226,591434.710743802,611430.498061874
"內湖區瑞光里",41,501709.090909091,518643.741181213
"內湖區瑞陽里",73,511183.47107438,533189.176950074
"內湖區石潭里",163,556846.280991736,583565.68473356
"內湖區五分里",95,452651.239669422,466622.253153545
"內湖區西安里",61,484476.033057851,518512.017341824
"內湖區西湖里",62,493864.462809917,499258.331111704
"內湖區西康里",226,527350.413223141,527858.684999634
"內湖區行善里",84,456618.181818182,469842.542306179
"內湖區秀湖里",62,512476.033057851,553106.371634231
"內湖區週美里",208,629051.239669421,650386.617927527
"內湖區紫星里",97,505358.67768595,582563.074039363
"內湖區紫陽里",90,545385.123966942,540726.24426079
"內湖區紫雲里",59,472340.495867769,472404.930662558
"士林區百齡里",62,451264.462809917,476600.10663823
"士林區承德里",33,567127.272727273,548630.70373153
"士林區翠山里",35,358459.504132231,376170.767414404
"士林區德華里",33,615811.570247934,626458.30202855
"士林區德行里",66,633525.619834711,620904.883546206
"士林區東山里",26,490963.636363636,520138.33439288
"士林區福安里",1,207980.165289256,207980.165289256
"士林區福德里",35,614512.396694215,814104.557260921
"士林區福華里",43,467573.553719008,460334.26869114
"士林區福佳里",51,555305.785123967,617992.41614001
"士林區福林里",69,898568.595041322,883042.951251647
"士林區福順里",60,451228.099173554,484696.198347107
"士林區福志里",74,680047.933884297,717888.362742908
"士林區福中里",100,462398.347107438,451844.760330579
"士林區富光里",77,379917.355371901,416560.824299667
"士林區富洲里",10,174092.561983471,183997.355371901
"士林區公館里",31,533302.479338843,486326.526259664
"士林區後港里",54,456284.297520661,483220.018365473
"士林區葫東里",35,375001.652892562,401868.618654073
"士林區葫蘆里",87,383424.79338843,365884.259523131
"士林區菁山里",3,474099.173553719,470261.157024793
"士林區舊佳里",57,617361.983471074,700860.490068146
"士林區蘭興里",82,692785.123966942,709900.020157226
"士林區蘭雅里",78,577231.404958678,617646.026700572
"士林區臨溪里",16,659765.289256198,685655.578512397
"士林區名山里",57,612499.173553719,622550.442221256
"士林區明勝里",67,561765.289256198,561106.845935611
"士林區前港里",45,483576.859504132,443651.349862259
"士林區仁勇里",24,540186.776859504,1162609.77961433
"士林區三玉里",69,584386.776859504,683631.955922865
"士林區社新里",66,351485.950413223,352608.11419985
"士林區社園里",49,338638.016528926,352123.73081464
"士林區社子里",64,444919.008264463,437097.882231405
"士林區聖山里",41,697421.487603306,635695.545252973
"士林區天福里",39,601133.884297521,863376.478067387
"士林區天和里",65,453676.033057851,541177.57151939
"士林區天祿里",40,548219.834710744,557397.768595041
"士林區天母里",101,547755.371900826,584301.251943376
"士林區天山里",92,617985.123966942,737291.879266978
"士林區天壽里",44,599889.256198347,604665.514650639
"士林區天玉里",126,573841.32231405,625081.280335826
"士林區溪山里",1,9061.15702479339,9061.15702479339
"士林區新安里",6,461375.20661157,552042.975206612
"士林區岩山里",31,520357.024793388,650758.517728606
"士林區陽明里",52,457894.214876033,486505.149396059
"士林區義信里",74,634892.561983471,917220.147420147
"士林區永福里",1,117153.719008264,117153.719008264
"士林區永倫里",58,367082.644628099,351451.866628669
"士林區芝山里",77,547004.958677686,588827.004400558
"士林區忠誠里",37,590902.479338843,601809.157918249
"松山區安平里",87,633100.826446281,668896.741711789
"松山區慈祐里",122,708042.975206612,758345.508738653
"松山區東昌里",25,649880.991735537,659407.20661157
"松山區東光里",161,694889.256198347,715559.858323495
"松山區東榮里",89,728684.297520661,724182.189618349
"松山區東勢里",41,688532.231404959,770730.739770208
"松山區敦化里",49,793031.404958678,820516.444594367
"松山區福成里",8,793069.421487603,666756.198347108
"松山區富錦里",44,686368.595041322,673704.658151766
"松山區富泰里",22,688302.479338843,716340.495867769
"松山區復建里",39,707418.181818182,643563.8906548
"松山區復盛里",72,632142.148760331,642849.035812672
"松山區復勢里",67,802323.966942149,829149.327741458
"松山區復源里",13,728823.140495868,780038.652256834
"松山區吉仁里",68,673672.727272727,681138.1137579
"松山區吉祥里",84,701428.099173554,685814.48248721
"松山區介壽里",50,655000,658607.867768595
"松山區精忠里",28,814712.396694215,800365.643447462
"松山區龍田里",104,654676.033057851,603000.699300699
"松山區美仁里",36,829952.066115703,806207.529843893
"松山區民福里",81,598922.314049587,565849.566370778
"松山區民有里",88,753803.305785124,742534.222389181
"松山區鵬程里",59,720472.727272727,702674.772377084
"松山區三民里",163,663451.239669421,656269.451908939
"松山區松基里",52,698937.190082645,665640.432294978
"松山區新東里",77,581444.628099174,587622.496511753
"松山區新聚里",91,603305.785123967,622390.118971937
"松山區新益里",22,623900.826446281,605639.669421488
"松山區中華里",48,794808.26446281,777981.887052342
"松山區中崙里",58,789935.537190083,818144.086634369
"松山區中正里",162,751775.20661157,808263.524130191
"松山區莊敬里",43,529603.305785124,513868.229867384
"松山區自強里",130,620120.661157025,597945.8359822
"萬華區保德里",17,444013.223140496,411059.212445309
"萬華區菜園里",112,443831.404958678,487226.711924439
"萬華區頂碩里",45,418029.752066116,651644.003673095
"萬華區福星里",77,471788.429752066,564641.708704519
"萬華區福音里",263,686988.429752066,645891.575275744
"萬華區富福里",57,467738.842975207,498254.139480934
"萬華區富民里",72,554181.818181818,551692.194674013
"萬華區和德里",49,372446.280991736,410198.009782425
"萬華區和平里",50,363700.826446281,397491.504132231
"萬華區華江里",82,338565.289256198,387284.660350736
"萬華區華中里",40,402133.884297521,391039.090909091
"萬華區錦德里",71,457031.404958678,457101.89733442
"萬華區凌霄里",33,466310.743801653,481673.829201102
"萬華區柳鄉里",31,338188.429752066,357954.572114103
"萬華區綠堤里",36,364449.586776859,341150.59687787
"萬華區銘德里",42,334383.47107438,330741.125541126
"萬華區青山里",59,349712.396694215,546562.935985432
"萬華區全德里",161,542409.917355372,526189.805451466
"萬華區仁德里",95,582723.966942149,586043.56676816
"萬華區日善里",27,424085.950413223,438619.16131007
"萬華區日祥里",36,330591.73553719,314691.919191919
"萬華區榮德里",38,347272.727272727,411832.970856894
"萬華區壽德里",52,416958.67768595,415562.174189447
"萬華區雙園里",25,433358.67768595,485988.231404959
"萬華區糖廍里",49,410657.851239669,513428.841288582
"萬華區騰雲里",55,441811.570247934,408970.33809166
"萬華區萬壽里",221,508581.818181818,557630.395273176
"萬華區西門里",511,675216.52892562,634842.690559752
