"行政區域","縣市名稱","Ym","city","gen_sum"
"北投區中央里","台北市",10505,"台北市",2222553
"北投區中央里","台北市",10503,"台北市",1879845
"北投區中央里","台北市",10511,"台北市",2017220
"北投區中央里","台北市",10507,"台北市",3532522
"北投區中央里","台北市",10509,"台北市",3100910
"北投區中央里","台北市",10501,"台北市",1623845
"北投區中庸里","台北市",10507,"台北市",1531694
"北投區中庸里","台北市",10509,"台北市",1857685
"北投區中庸里","台北市",10511,"台北市",1286884
"北投區中庸里","台北市",10503,"台北市",915247
"北投區中庸里","台北市",10505,"台北市",976586
"北投區中庸里","台北市",10501,"台北市",872947
"北投區洲美里","台北市",10503,"台北市",294387
"北投區洲美里","台北市",10507,"台北市",405468
"北投區洲美里","台北市",10509,"台北市",525290
"北投區洲美里","台北市",10511,"台北市",382674
"北投區洲美里","台北市",10505,"台北市",305059
"北投區洲美里","台北市",10501,"台北市",279448
"北投區尊賢里","台北市",10509,"台北市",1168707
"北投區尊賢里","台北市",10507,"台北市",1466216
"北投區尊賢里","台北市",10511,"台北市",739690
"北投區尊賢里","台北市",10503,"台北市",666882
"北投區尊賢里","台北市",10501,"台北市",734899
"北投區尊賢里","台北市",10505,"台北市",991803
"大安區昌隆里","台北市",10503,"台北市",945384
"大安區昌隆里","台北市",10509,"台北市",1621346
"大安區昌隆里","台北市",10501,"台北市",807326
"大安區昌隆里","台北市",10507,"台北市",1375401
"大安區昌隆里","台北市",10511,"台北市",1181484
"大安區昌隆里","台北市",10505,"台北市",963232
"大安區車層里","台北市",10511,"台北市",2504843
"大安區車層里","台北市",10509,"台北市",3838119
"大安區車層里","台北市",10505,"台北市",2301085
"大安區車層里","台北市",10507,"台北市",3476642
"大安區車層里","台北市",10503,"台北市",2092202
"大安區車層里","台北市",10501,"台北市",1995148
"大安區誠安里","台北市",10505,"台北市",1468347
"大安區誠安里","台北市",10511,"台北市",1487345
"大安區誠安里","台北市",10503,"台北市",1228336
"大安區誠安里","台北市",10507,"台北市",2100952
"大安區誠安里","台北市",10509,"台北市",2139422
"大安區誠安里","台北市",10501,"台北市",1182774
"大安區大學里","台北市",10505,"台北市",2717428
"大安區大學里","台北市",10501,"台北市",2200096
"大安區大學里","台北市",10507,"台北市",4118824
"大安區大學里","台北市",10511,"台北市",2467925
"大安區大學里","台北市",10509,"台北市",3556165
"大安區大學里","台北市",10503,"台北市",2526060
"大安區德安里","台北市",10509,"台北市",2357073
"大安區德安里","台北市",10505,"台北市",2003517
"大安區德安里","台北市",10501,"台北市",1716573
"大安區德安里","台北市",10507,"台北市",2834075
"大安區德安里","台北市",10511,"台北市",1591969
"大安區德安里","台北市",10503,"台北市",1515276
"大安區敦安里","台北市",10503,"台北市",1922842
"大安區敦安里","台北市",10509,"台北市",3326820
"大安區敦安里","台北市",10505,"台北市",2038574
"大安區敦安里","台北市",10507,"台北市",2801737
"大安區敦安里","台北市",10511,"台北市",2425649
"大安區敦安里","台北市",10501,"台北市",1733314
"大安區敦煌里","台北市",10505,"台北市",2048609
"大安區敦煌里","台北市",10501,"台北市",1761997
"大安區敦煌里","台北市",10507,"台北市",2823051
"大安區敦煌里","台北市",10503,"台北市",1972793
"大安區敦煌里","台北市",10509,"台北市",3320395
"大安區敦煌里","台北市",10511,"台北市",2410413
"大安區法治里","台北市",10507,"台北市",1776336
"大安區法治里","台北市",10503,"台北市",1188976
"大安區法治里","台北市",10509,"台北市",2061839
"大安區法治里","台北市",10501,"台北市",1053522
"大安區法治里","台北市",10511,"台北市",1514501
"大安區法治里","台北市",10505,"台北市",1193194
"大安區芳和里","台北市",10505,"台北市",1584771
"大安區芳和里","台北市",10503,"台北市",1216884
"大安區芳和里","台北市",10509,"台北市",1984109
